DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.0784821	7	8	1	1	12	1	1	0	12612	28	0	35.3781	0	0
DL	0.0787321	7	8	2	1	12	1	1	0	12612	28	0	35.3343	0	0
DL	0.0789643	7	8	3	1	11	1	1	0	11560	28	0	35.3163	0	0
UL	0.0789821	7	8	3	12	1	1	1	0	1052	28	0	25.3723 	0	0
DL	0.0792143	7	9	0	1	11	1	1	0	11560	28	0	35.2402	0	0
UL	0.0792321	7	9	0	12	1	1	1	0	1052	28	0	25.2639 	0	0
DL	0.0794643	7	9	1	1	11	1	1	0	11560	28	0	35.2766	0	0
UL	0.0794821	7	9	1	12	1	1	1	0	1052	28	0	25.2981 	0	0
DL	0.0797321	7	9	2	1	12	1	1	0	12612	28	0	35.3046	0	0
DL	0.0799821	7	9	3	1	12	1	1	0	12612	28	0	35.3163	0	0
DL	0.0802321	8	0	0	1	12	1	1	0	12612	28	0	35.3348	0	0
DL	0.0804821	8	0	1	1	12	1	1	0	12612	28	0	36.5269	0	0
DL	0.0807143	8	0	2	1	11	1	1	0	11560	28	0	36.5095	0	0
UL	0.0807321	8	0	2	12	1	1	1	0	1052	28	0	26.5094 	0	0
DL	0.0809643	8	0	3	1	11	1	1	0	11560	28	0	36.5005	0	0
UL	0.0809821	8	0	3	12	1	1	1	0	1052	28	0	26.4944 	0	0
DL	0.0812143	8	1	0	1	11	1	1	0	11560	28	0	36.4757	0	0
UL	0.0812321	8	1	0	12	1	1	1	0	1052	28	0	26.471 	0	0
DL	0.0814821	8	1	1	1	12	1	1	0	12612	28	0	37.69	0	0
DL	0.0817321	8	1	2	1	12	1	1	0	12612	28	0	37.6736	0	0
DL	0.0819821	8	1	3	1	12	1	1	0	12612	28	0	37.6581	0	0
DL	0.0822321	8	2	0	1	12	1	1	0	12612	28	0	37.6111	0	0
DL	0.0824643	8	2	1	1	11	1	1	0	11560	28	0	37.18	0	0
UL	0.0824821	8	2	1	12	1	1	1	0	1052	28	0	27.2889 	0	0
DL	0.0827143	8	2	2	1	11	1	1	0	11560	28	0	37.2061	0	0
UL	0.0827321	8	2	2	12	1	1	1	0	1052	28	0	27.3119 	0	0
DL	0.0829643	8	2	3	1	11	1	1	0	11560	28	0	37.2161	0	0
UL	0.0829821	8	2	3	12	1	1	1	0	1052	28	0	27.3286 	0	0
DL	0.0832321	8	3	0	1	12	1	1	0	12612	28	0	37.2396	0	0
DL	0.0834821	8	3	1	1	12	1	1	0	12612	28	0	37.2466	0	0
DL	0.0837321	8	3	2	1	12	1	1	0	12612	28	0	35.7438	0	0
DL	0.0839821	8	3	3	1	12	1	1	0	12612	28	0	35.7169	0	0
DL	0.0842143	8	4	0	1	11	1	1	0	11560	28	0	35.7099	0	0
UL	0.0842321	8	4	0	12	1	1	1	0	1052	28	0	25.7287 	0	0
DL	0.0844643	8	4	1	1	11	1	1	0	11560	28	0	35.7134	0	0
UL	0.0844821	8	4	1	12	1	1	1	0	1052	28	0	25.7174 	0	0
DL	0.0847143	8	4	2	1	11	1	1	0	11560	28	0	36.5868	0	0
UL	0.0847321	8	4	2	12	1	1	1	0	1052	28	0	26.6225 	0	0
DL	0.0849821	8	4	3	1	12	1	1	0	12612	28	0	36.6061	0	0
DL	0.0852321	8	5	0	1	12	1	1	0	12612	28	0	36.5956	0	0
DL	0.0854821	8	5	1	1	12	1	1	0	12612	28	0	36.601	0	0
DL	0.0857321	8	5	2	1	12	1	1	0	12612	28	0	36.177	0	0
DL	0.0859643	8	5	3	1	11	1	1	0	11560	28	0	36.1762	0	0
UL	0.0859821	8	5	3	12	1	1	1	0	1052	28	0	26.1234 	0	0
DL	0.0862143	8	6	0	1	11	1	1	0	11560	28	0	36.169	0	0
UL	0.0862321	8	6	0	12	1	1	1	0	1052	28	0	26.1168 	0	0
DL	0.0864643	8	6	1	1	11	1	1	0	11560	28	0	36.1565	0	0
UL	0.0864821	8	6	1	12	1	1	1	0	1052	28	0	26.1174 	0	0
DL	0.0867321	8	6	2	1	12	1	1	0	12612	28	0	36.1495	0	0
DL	0.0869821	8	6	3	1	12	1	1	0	12612	28	0	37.8832	0	0
DL	0.0872321	8	7	0	1	12	1	1	0	12612	28	0	37.9007	0	0
DL	0.0874821	8	7	1	1	12	1	1	0	12612	28	0	37.9001	0	0
DL	0.0877143	8	7	2	1	11	1	1	0	11560	28	0	37.9348	0	0
UL	0.0877321	8	7	2	12	1	1	1	0	1052	28	0	27.9035 	0	0
DL	0.0879643	8	7	3	1	11	1	1	0	11560	28	0	36.0579	0	0
UL	0.0879821	8	7	3	12	1	1	1	0	1052	28	0	26.0546 	0	0
DL	0.0882143	8	8	0	1	11	1	1	0	11560	28	0	36.0613	0	0
UL	0.0882321	8	8	0	12	1	1	1	0	1052	28	0	26.0819 	0	0
DL	0.0884821	8	8	1	1	12	1	1	0	12612	28	0	36.0958	0	0
